[2023-04-06 16:21:35,616] Register - Step 01: Click to register link
[2023-04-06 16:21:38,661] Register - Step 02: Click to register button
[2023-04-06 16:21:38,779] Step 03: Verify error message at firstName textbox
[2023-04-06 16:21:38,845] Step 04: Verify error message at lastName textbox
[2023-04-06 16:21:38,907] Register - Step 05: Verify error message at email textbox
[2023-04-06 16:21:38,956] Step 06: Verify error message at password textbox
[2023-04-06 16:21:39,023] Step 07: Verify error message at confirm password textbox
[2023-04-06 16:21:39,073] Register - Step 01: Click to register link
[2023-04-06 16:21:41,510] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:21:41,656] Register - Step 03: Enter to lastName textbox with data is 'le6232 '
[2023-04-06 16:21:41,798] Register - Step 04: Enter to email invalid textbox with data is '123@3$%%' 
[2023-04-06 16:21:41,932] Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:21:42,066] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:21:42,196] Register - Step 07: Click to register button
[2023-04-06 16:21:42,289] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:21:42,338] Register - Step 01: Click to register link
[2023-04-06 16:21:44,786] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:21:44,887] Register - Step 03: Enter to lastName textbox with data is 'le6232 '
[2023-04-06 16:21:45,024] Register - Step 04: Enter to email invalid textbox with data is ' kimle2702@gmail.com'
[2023-04-06 16:21:45,187] Register - Step 05: Enter to password textbox with data is '123'
[2023-04-06 16:21:45,297] Register - Step 06: Enter to confirm password textbox with data is '123'
[2023-04-06 16:21:45,425] Register - Step 07: Click to register button
[2023-04-06 16:21:45,511] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:21:45,560] Register - Step 01: Click to register link
[2023-04-06 16:21:48,043] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:21:48,148] Register - Step 03: Enter to lastName textbox with data is 'le6232 '
[2023-04-06 16:21:48,283] Register - Step 04: Enter to email invalid textbox with data is ' kimle2702@gmail.com'
[2023-04-06 16:21:48,452] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:21:48,581] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:21:48,694] Register - Step 07: Click to register button
[2023-04-06 16:21:49,519] Register - Step 08: Verify register success
[2023-04-06 16:21:49,589] Register - Step 01: Click to register link
[2023-04-06 16:21:52,138] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:21:52,276] Register - Step 03: Enter to lastName textbox with data is 'le6232 '
[2023-04-06 16:21:52,438] Register - Step 04: Enter to email invalid textbox with data is ' kimle2702@gmail.com'
[2023-04-06 16:21:52,580] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:21:52,698] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:21:52,816] Register - Step 07: Click to register button
[2023-04-06 16:21:53,299] Register - Step 08: Verify email already exists
[2023-04-06 16:21:53,353] Register - Step 01: Click to register link
[2023-04-06 16:21:55,960] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:21:56,063] Register - Step 03: Enter to lastName textbox with data is 'le6232 '
[2023-04-06 16:21:56,187] Register - Step 04: Enter to email invalid textbox with data is ' kimle2702@gmail.com'
[2023-04-06 16:21:56,369] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:21:56,493] Register - Step 06: Enter to confirm password textbox with data is '123456'
[2023-04-06 16:21:56,604] Register - Step 07: Click to register button
[2023-04-06 16:21:56,692] Register - Step 08: Verify assword and confirmation password don't match
[2023-04-06 16:23:59,147] Register - Step 01: Click to register link
[2023-04-06 16:24:02,233] Register - Step 02: Click to register button
[2023-04-06 16:24:02,342] Step 03: Verify error message at firstName textbox
[2023-04-06 16:24:02,405] Step 04: Verify error message at lastName textbox
[2023-04-06 16:24:02,453] Register - Step 05: Verify error message at email textbox
[2023-04-06 16:24:02,530] Step 06: Verify error message at password textbox
[2023-04-06 16:24:02,575] Step 07: Verify error message at confirm password textbox
[2023-04-06 16:24:02,631] Register - Step 01: Click to register link
[2023-04-06 16:24:05,181] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:24:05,325] Register - Step 03: Enter to lastName textbox with data is 'le8921 '
[2023-04-06 16:24:05,469] Register - Step 04: Enter to email invalid textbox with data is '123@3$%%' 
[2023-04-06 16:24:05,607] Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:24:05,762] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:24:05,902] Register - Step 07: Click to register button
[2023-04-06 16:24:05,996] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:24:06,052] Register - Step 01: Click to register link
[2023-04-06 16:24:08,537] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:24:08,660] Register - Step 03: Enter to lastName textbox with data is 'le8921 '
[2023-04-06 16:24:08,795] Register - Step 04: Enter to email invalid textbox with data is ' kimle271@gmail.com'
[2023-04-06 16:24:08,955] Register - Step 05: Enter to password textbox with data is '123'
[2023-04-06 16:24:09,072] Register - Step 06: Enter to confirm password textbox with data is '123'
[2023-04-06 16:24:09,198] Register - Step 07: Click to register button
[2023-04-06 16:24:09,289] Register - Step 08: Verify error message at confirm password textbox
[2023-04-06 16:24:09,335] Register - Step 01: Click to register link
[2023-04-06 16:24:11,799] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:24:11,904] Register - Step 03: Enter to lastName textbox with data is 'le8921 '
[2023-04-06 16:24:12,039] Register - Step 04: Enter to email invalid textbox with data is ' kimle271@gmail.com'
[2023-04-06 16:24:12,183] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:24:12,301] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:24:12,428] Register - Step 07: Click to register button
[2023-04-06 16:24:13,282] Register - Step 08: Verify register success
[2023-04-06 16:24:13,335] Register - Step 01: Click to register link
[2023-04-06 16:24:15,798] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:24:15,938] Register - Step 03: Enter to lastName textbox with data is 'le8921 '
[2023-04-06 16:24:16,095] Register - Step 04: Enter to email invalid textbox with data is ' kimle271@gmail.com'
[2023-04-06 16:24:16,291] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:24:16,445] Register - Step 06: Enter to confirm password textbox with data is '123123 '
[2023-04-06 16:24:16,593] Register - Step 07: Click to register button
[2023-04-06 16:24:17,126] Register - Step 08: Verify email already exists
[2023-04-06 16:24:17,194] Register - Step 01: Click to register link
[2023-04-06 16:24:19,699] Register - Step 02: Enter to firstName textbox with data is 'kim '
[2023-04-06 16:24:19,825] Register - Step 03: Enter to lastName textbox with data is 'le8921 '
[2023-04-06 16:24:19,961] Register - Step 04: Enter to email invalid textbox with data is ' kimle271@gmail.com'
[2023-04-06 16:24:20,106] Register - Step 05: Enter to password textbox with data is '123123 '
[2023-04-06 16:24:20,223] Register - Step 06: Enter to confirm password textbox with data is '123456'
[2023-04-06 16:24:20,351] Register - Step 07: Click to register button
[2023-04-06 16:24:20,431] Register - Step 08: Verify assword and confirmation password don't match
[2023-04-06 16:33:04,794] Register - Step 01: Click to register link
[2023-04-06 16:33:07,812] Register - Step 02: Click to register button
[2023-04-06 16:33:07,946] Step 03: Verify error message at firstName textbox
[2023-04-06 16:33:08,013] Step 04: Verify error message at lastName textbox
[2023-04-06 16:33:08,070] Register - Step 05: Verify error message at email textbox
[2023-04-06 16:33:08,139] Step 06: Verify error message at password textbox
[2023-04-06 16:33:08,201] Step 07: Verify error message at confirm password textbox
[2023-04-06 16:35:49,599] Register - Step 01: Click to register link
[2023-04-06 16:35:52,682] Register - Step 02: Click to register button
[2023-04-06 16:35:52,794] Step 03: Verify error message at firstName textbox
[2023-04-06 16:35:52,867] Step 04: Verify error message at lastName textbox
[2023-04-06 16:35:52,930] Register - Step 05: Verify error message at email textbox
[2023-04-06 16:35:53,007] Step 06: Verify error message at password textbox
[2023-04-06 16:35:53,060] Step 07: Verify error message at confirm password textbox
[2023-04-06 16:35:53,117] Register - Step 01: Click to register link
